age,job,marital,education,default,balance,housing,loan,day_of_week,month,duration,campaign,pdays,previous,y
53,management,married,tertiary,no,1356,yes,no,5,aug,397,2,93,2,no
28,management,single,tertiary,no,223,yes,no,27,aug,157,2,119,1,yes
37,blue-collar,single,secondary,no,180,yes,no,8,may,114,2,-1,0,no
67,retired,divorced,tertiary,no,443,no,no,18,aug,441,1,-1,0,yes
34,technician,married,tertiary,no,197,no,no,20,aug,78,3,-1,0,yes
42,unemployed,married,secondary,no,135,yes,no,13,may,259,6,-1,0,no
31,unemployed,single,tertiary,no,1611,yes,no,23,may,154,2,-1,0,no
54,technician,married,tertiary,no,876,no,no,27,oct,269,3,541,3,yes
72,retired,married,,no,1940,no,no,4,dec,705,2,-1,0,yes
32,blue-collar,single,secondary,no,435,yes,no,21,may,373,2,-1,0,no
48,management,single,tertiary,no,86,no,no,28,jun,281,3,186,6,yes
64,unemployed,divorced,secondary,no,588,no,no,8,mar,409,1,-1,0,yes
48,blue-collar,married,primary,no,108,yes,no,15,may,74,5,367,7,no
33,technician,married,secondary,no,484,yes,no,16,aug,205,3,182,9,yes
39,management,divorced,tertiary,no,224,yes,no,5,may,106,1,-1,0,no
54,services,married,secondary,no,4353,yes,yes,29,jul,197,2,-1,0,no
38,blue-collar,married,primary,no,3242,yes,no,17,apr,198,5,331,1,no
33,management,married,tertiary,no,0,yes,no,14,apr,535,3,328,1,yes
33,admin.,single,secondary,no,0,yes,no,14,jul,166,3,-1,0,no
60,housemaid,divorced,primary,no,1412,no,no,22,jul,127,4,-1,0,no
41,technician,single,tertiary,no,5365,yes,no,7,may,412,2,-1,0,no
45,blue-collar,married,secondary,no,2644,yes,no,21,nov,36,2,-1,0,no
31,technician,single,tertiary,no,969,no,no,15,jun,95,1,-1,0,no
58,blue-collar,divorced,secondary,no,-11,no,no,6,may,112,1,-1,0,no
34,management,married,tertiary,no,1778,no,no,4,nov,358,1,162,2,yes
28,blue-collar,single,secondary,no,1735,yes,no,20,apr,89,1,-1,0,no
38,admin.,single,secondary,no,648,yes,no,6,feb,101,2,-1,0,no
44,blue-collar,married,secondary,no,-99,yes,no,6,may,111,2,-1,0,no
31,student,single,secondary,no,3511,no,no,2,jul,667,1,-1,0,yes
34,management,married,tertiary,no,557,yes,no,29,jan,354,1,197,1,no
24,technician,single,tertiary,no,596,yes,no,13,may,451,1,-1,0,no
54,self-employed,married,primary,no,277,yes,no,2,jun,360,3,-1,0,no
58,housemaid,married,secondary,no,2705,no,no,14,aug,137,1,-1,0,no
31,admin.,single,tertiary,no,676,yes,no,22,apr,124,2,343,2,yes
32,technician,married,secondary,no,473,no,yes,10,aug,1064,1,95,3,yes
37,management,single,tertiary,no,0,no,no,20,oct,107,1,258,3,no
34,management,married,tertiary,no,436,yes,no,17,apr,28,1,345,1,no
36,management,married,tertiary,no,393,yes,no,30,apr,555,2,-1,0,yes
28,technician,married,secondary,no,1180,yes,no,29,may,637,3,-1,0,no
29,management,single,tertiary,no,1445,no,no,4,dec,271,2,-1,0,yes
59,management,married,secondary,no,544,no,no,20,jun,67,2,-1,0,no
41,management,divorced,,no,465,yes,no,22,jul,1508,1,-1,0,yes
34,blue-collar,divorced,primary,no,0,yes,no,15,may,206,5,-1,0,no
43,technician,divorced,,no,4389,no,no,2,jul,632,2,85,1,yes
27,management,married,tertiary,no,802,no,no,22,sep,569,1,-1,0,yes
42,unemployed,married,,no,190,no,no,11,aug,704,2,-1,0,yes
43,management,married,tertiary,no,1791,no,no,5,aug,254,1,-1,0,yes
52,entrepreneur,married,secondary,no,1306,no,no,15,jun,288,1,-1,0,yes
39,entrepreneur,married,secondary,no,0,yes,no,15,may,171,10,-1,0,no
77,retired,married,primary,no,29340,no,no,15,mar,257,1,91,2,yes
60,technician,married,tertiary,no,-71,yes,yes,30,jan,1451,1,-1,0,yes
29,management,single,tertiary,no,1026,no,no,12,nov,226,1,92,1,yes
49,technician,single,secondary,no,9131,yes,no,18,aug,532,1,461,5,yes
35,blue-collar,married,primary,no,828,no,no,2,jun,468,8,-1,0,no
38,blue-collar,single,secondary,no,0,no,no,27,oct,297,1,75,3,yes
57,retired,married,secondary,no,466,no,no,5,aug,641,2,-1,0,yes
71,retired,married,secondary,no,1696,no,no,6,oct,486,1,-1,0,yes
36,management,married,secondary,no,565,no,no,27,mar,300,1,-1,0,yes
40,admin.,married,secondary,no,67,no,no,21,nov,199,2,-1,0,no
46,management,divorced,secondary,no,0,no,no,27,aug,763,5,-1,0,yes
25,entrepreneur,married,tertiary,no,38,yes,no,22,jul,278,5,-1,0,no
34,blue-collar,married,primary,no,275,yes,no,30,may,170,1,-1,0,no
27,management,single,tertiary,no,648,yes,yes,4,jun,174,1,-1,0,no
42,blue-collar,married,primary,no,869,yes,yes,11,may,718,2,-1,0,no
26,admin.,single,secondary,no,2509,no,no,27,may,776,3,97,3,yes
44,services,divorced,secondary,no,51,yes,yes,27,may,3094,2,-1,0,yes
34,management,single,tertiary,no,6707,yes,no,20,apr,16,3,154,4,no
45,technician,married,secondary,no,1831,no,no,27,may,275,2,-1,0,yes
32,technician,married,secondary,no,253,yes,no,21,nov,76,1,170,3,no
43,services,divorced,secondary,no,1043,yes,no,17,nov,57,4,119,3,no
49,technician,divorced,secondary,no,95,yes,no,8,may,90,1,-1,0,no
30,technician,single,secondary,no,3,no,no,22,aug,198,2,-1,0,no
41,management,married,secondary,no,0,no,no,21,nov,624,1,-1,0,no
52,,married,primary,no,8251,no,no,5,jun,397,1,-1,0,no
47,blue-collar,married,primary,no,421,yes,yes,5,jun,52,1,-1,0,no
35,services,married,secondary,no,0,yes,no,18,may,146,2,-1,0,no
25,blue-collar,married,secondary,no,316,yes,yes,19,may,360,2,-1,0,no
29,management,single,tertiary,no,-27,no,no,13,may,270,1,-1,0,yes
58,retired,married,tertiary,no,1326,no,no,28,aug,201,1,-1,0,no
42,admin.,married,secondary,no,534,yes,no,16,may,139,2,-1,0,no
59,retired,married,primary,no,1634,yes,yes,5,aug,836,1,-1,0,yes
31,technician,single,tertiary,no,985,yes,no,17,apr,997,1,57,2,yes
41,blue-collar,married,secondary,no,427,yes,yes,14,may,177,2,-1,0,no
38,management,single,tertiary,no,6158,yes,no,15,apr,139,5,145,9,yes
33,management,married,tertiary,no,2044,yes,no,15,may,102,3,177,1,no
55,blue-collar,married,secondary,no,49,yes,no,7,jul,494,4,-1,0,yes
59,admin.,married,secondary,no,145,yes,no,12,may,556,2,287,13,yes
41,blue-collar,married,primary,no,402,no,no,17,jun,114,17,-1,0,no
32,admin.,married,secondary,no,159,no,yes,26,jun,177,1,-1,0,no
38,technician,married,secondary,no,63,no,no,20,aug,320,4,-1,0,no
60,management,married,primary,no,0,no,no,17,jun,442,1,-1,0,no
43,blue-collar,married,secondary,no,-312,yes,no,20,jun,26,11,-1,0,no
30,blue-collar,married,secondary,no,-202,no,no,27,may,166,2,-1,0,no
35,technician,divorced,tertiary,no,-995,yes,yes,25,aug,734,4,-1,0,no
41,management,married,tertiary,no,326,no,no,6,feb,163,1,182,2,no
32,blue-collar,married,tertiary,no,143,yes,yes,18,may,90,1,-1,0,no
55,technician,married,tertiary,no,-466,yes,no,15,may,901,1,-1,0,yes
32,admin.,married,secondary,no,684,yes,no,14,may,607,3,-1,0,yes
40,management,married,secondary,yes,-1545,no,no,27,aug,70,13,-1,0,no
24,services,single,,no,2022,no,no,23,apr,159,4,-1,0,yes
47,blue-collar,married,primary,no,4666,no,no,14,may,451,3,-1,0,no
36,blue-collar,married,secondary,no,98,yes,no,12,may,415,1,344,1,no
34,technician,married,tertiary,no,3743,yes,no,18,may,722,4,-1,0,yes
31,admin.,single,secondary,no,1129,yes,no,18,may,145,3,-1,0,no
58,blue-collar,married,primary,no,66,yes,no,15,may,184,4,-1,0,no
58,management,divorced,tertiary,no,372,no,yes,29,oct,11,1,-1,0,yes
33,services,married,secondary,no,0,no,yes,8,jul,285,1,-1,0,no
43,entrepreneur,married,secondary,no,3862,yes,no,3,jun,102,1,-1,0,no
33,blue-collar,married,primary,no,1002,yes,no,30,may,201,4,-1,0,no
40,technician,married,tertiary,no,11766,yes,no,13,apr,218,2,242,9,yes
27,admin.,married,secondary,no,897,no,no,5,jun,397,1,-1,0,yes
30,admin.,married,secondary,no,111,no,yes,21,nov,86,3,133,1,no
24,admin.,married,secondary,no,61,yes,yes,7,may,278,1,343,2,no
78,,married,,no,2235,no,no,14,apr,300,3,-1,0,yes
49,housemaid,married,primary,no,78,no,no,10,jul,139,1,-1,0,no
24,blue-collar,married,secondary,no,142,yes,yes,16,may,300,1,-1,0,no
31,blue-collar,married,secondary,no,150,yes,no,14,may,68,2,-1,0,no
52,entrepreneur,divorced,tertiary,no,81,yes,no,19,may,214,3,-1,0,no
28,technician,single,secondary,no,598,yes,no,2,mar,177,1,288,2,yes
34,unemployed,single,secondary,no,15,no,no,12,jan,377,1,-1,0,yes
33,services,married,primary,no,0,yes,no,7,may,227,2,-1,0,no
27,technician,single,tertiary,no,1075,no,no,2,sep,529,2,184,1,yes
46,services,married,secondary,no,184,yes,no,1,apr,836,1,-1,0,no
60,retired,divorced,tertiary,no,439,no,yes,25,may,464,1,321,1,yes
55,management,married,tertiary,no,926,yes,no,17,nov,309,1,-1,0,no
38,management,married,tertiary,no,0,no,no,24,sep,246,12,197,6,no
23,blue-collar,single,secondary,no,525,yes,no,19,may,180,1,-1,0,no
52,blue-collar,married,primary,no,1331,yes,no,29,jul,213,2,-1,0,no
28,self-employed,single,tertiary,no,1579,no,no,13,jan,163,1,91,3,yes
