ID,vector,Nearest Neighbors,Linear SVM,Decision Tree,Random Forest,Neural Net,Logistic Regression,Gradient Boosting,Linear Discrimiant
0,"[[ 1.13519243 -0.00171599 -1.29809889  0.53955058 -0.24652369  0.52207599
   0.61147195  0.          0.          0.          0.          0.
   1.          0.          0.          0.          0.          0.
   0.          0.          1.          0.          0.          0.
   0.          1.          1.          0.          0.          1.
   1.          0.          0.          1.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          1.          0.        ]]",0,0,0,0,0,0,0,0
1,"[[-1.21709067 -0.37514938  1.34654248 -0.39292303 -0.24652369  0.78077542
   0.17929487  0.          0.          0.          0.          0.
   1.          0.          0.          0.          0.          0.
   0.          0.          0.          1.          0.          0.
   0.          1.          1.          0.          0.          1.
   1.          0.          0.          1.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          1.        ]]",1,1,1,1,1,1,1,1
2,"[[-0.37026875 -0.38932205 -0.93746598 -0.55999122 -0.24652369 -0.41322197
  -0.25288222  0.          0.          1.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          1.          0.          0.
   1.          0.          1.          0.          0.          1.
   1.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          1.          0.
   0.          0.          1.          0.        ]]",0,0,0,0,0,0,0,0
3,"[[ 2.45247097 -0.30263804  0.26464374  0.71050408 -0.57038574 -0.41322197
  -0.25288222  0.          0.          0.          0.          0.
   0.          1.          0.          0.          0.          0.
   0.          1.          0.          0.          0.          0.
   0.          1.          1.          0.          1.          0.
   1.          0.          0.          1.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          1.        ]]",1,1,0,1,1,1,0,1
4,"[[-0.65254272 -0.3837189   0.50506568 -0.69986226  0.07733835 -0.41322197
  -0.25288222  0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          1.
   0.          0.          1.          0.          0.          0.
   0.          1.          1.          0.          1.          0.
   1.          0.          0.          1.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          1.        ]]",1,1,1,1,1,1,1,1
5,"[[ 0.10018787 -0.40415391 -0.33641112  0.00337826  1.04892449 -0.41322197
  -0.25288222  0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   1.          0.          1.          0.          0.          0.
   1.          0.          1.          0.          0.          1.
   1.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          1.          0.
   0.          0.          1.          0.        ]]",0,0,0,0,0,0,0,0
6,"[[-0.9348167   0.08233124  0.8656986  -0.40457895 -0.24652369 -0.41322197
  -0.25288222  0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   1.          0.          0.          1.          0.          0.
   0.          1.          1.          0.          0.          1.
   1.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          1.          0.
   0.          0.          1.          0.        ]]",0,0,0,0,0,0,0,0
7,"[[ 1.22928376 -0.15992254  1.34654248  0.04223132  0.07733835  4.97966623
   1.04364903  0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          1.
   0.          0.          1.          0.          0.          0.
   0.          1.          1.          0.          1.          0.
   1.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   1.          0.          0.          1.        ]]",0,0,0,1,0,0,0,0
8,"[[ 2.92292759  0.19076865 -1.41830987  1.73622504 -0.24652369 -0.41322197
  -0.25288222  0.          0.          0.          0.          0.
   0.          1.          0.          0.          0.          0.
   0.          0.          1.          0.          1.          0.
   0.          0.          1.          0.          1.          0.
   1.          0.          0.          0.          1.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          1.        ]]",0,0,0,1,0,0,0,0
9,"[[-0.84072537 -0.30527481  0.62527665  0.44630322 -0.24652369 -0.41322197
  -0.25288222  0.          0.          1.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          1.          0.          0.
   1.          0.          1.          0.          0.          1.
   1.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          1.          0.
   0.          0.          1.          0.        ]]",0,0,0,0,0,0,0,0
