id,area,loss_0_1,diff_loss,diff_target
0,299,0,0,0
13,299,0,0,0
17,299,0,0,0
56,299,0,0,0
82,299,0,0,0
171,299,0,0,0
184,299,0,0,0
221,299,0,0,0
463,299,0,0,0
469,299,0,0,0
488,299,0,0,0
493,299,0,0,0
518,299,0,0,0
527,299,0,0,0
611,299,0,0,0
659,299,0,0,0
690,299,0,0,0
701,299,0,0,0
768,299,0,0,0
788,299,0,0,0
904,299,0,0,0
964,299,0,0,0
968,299,0,0,0
998,299,1,1,0
1067,299,0,0,0
1197,299,0,0,0
1217,299,0,0,0
1349,299,0,0,0
1412,299,1,1,0
1506,299,0,0,0
1552,299,0,0,0
1560,299,0,0,0
1672,299,0,0,0
1682,299,0,0,0
1726,299,1,1,0
1729,299,0,0,0
1765,299,1,1,0
1939,299,0,0,0
1974,299,0,0,0
1979,299,0,0,0
1988,299,0,0,0
2028,299,0,0,0
2136,299,0,0,0
2297,299,0,0,0
2422,299,0,0,0
2440,299,0,0,0
2502,299,0,0,0
2553,299,0,0,0
2568,299,0,0,0
2624,299,0,0,0
2679,299,0,0,0
2769,299,0,0,0
2774,299,0,0,0
2809,299,0,0,0
2831,299,0,0,0
2905,299,0,0,0
2953,299,0,0,0
3015,299,0,0,0
3033,299,0,0,0
3060,299,0,0,0
3085,299,0,0,0
3150,299,0,0,0
3229,299,0,0,0
3286,299,0,0,0
3321,299,0,0,0
3367,299,0,0,0
3377,299,1,1,0
3391,299,0,0,0
3444,299,1,1,0
3484,299,0,0,0
3491,299,0,0,0
3567,299,0,0,0
3582,299,0,0,0
3583,299,0,0,0
3592,299,0,0,0
3686,299,0,0,0
3777,299,0,0,0
3841,299,0,0,0
3872,299,0,0,0
3874,299,0,0,0
3900,299,0,0,0
3964,299,0,0,0
4007,299,0,0,0
4115,299,0,0,0
4221,299,0,0,0
4284,299,0,0,0
4397,299,0,0,0
4407,299,0,0,0
4440,299,0,0,0
4594,299,0,0,0
4665,299,0,0,0
4684,299,0,0,0
4688,299,0,0,0
4800,299,0,0,0
4864,299,0,0,0
4865,299,0,0,0
