age,job,marital,education,default,balance,housing,loan,day_of_week,month,duration,campaign,pdays,previous,y
45,management,married,tertiary,no,709,yes,no,7,jul,355,3,-1,0,no
53,services,married,secondary,no,419,no,no,21,jun,97,1,-1,0,no
23,admin.,single,secondary,no,428,yes,no,18,jun,124,5,-1,0,no
46,blue-collar,married,primary,no,13,yes,no,11,may,279,3,-1,0,no
51,unemployed,married,,no,1236,no,no,14,jun,105,4,-1,0,no
54,entrepreneur,married,secondary,no,-10,yes,yes,4,jun,134,1,-1,0,no
34,admin.,married,secondary,no,-9,yes,no,15,may,188,2,-1,0,no
33,blue-collar,married,secondary,no,-385,yes,no,4,may,186,1,-1,0,no
43,management,married,tertiary,no,203,yes,no,6,jun,131,3,-1,0,no
37,entrepreneur,married,tertiary,no,269,no,no,13,may,345,1,-1,0,no
43,blue-collar,married,secondary,no,501,yes,no,7,may,155,1,-1,0,no
31,entrepreneur,married,secondary,no,135,yes,no,11,jul,210,5,-1,0,no
37,technician,married,secondary,no,468,no,no,25,jun,317,2,-1,0,no
32,technician,married,secondary,no,271,yes,no,20,may,240,1,-1,0,no
25,technician,single,secondary,no,607,yes,no,19,jul,197,2,-1,0,no
58,management,married,primary,no,436,no,no,8,may,171,3,-1,0,no
33,technician,married,secondary,no,84,yes,no,12,jul,196,5,-1,0,no
38,services,married,secondary,no,85,yes,no,11,may,59,1,314,0,no
46,housemaid,married,primary,no,680,no,no,12,jun,122,5,-1,0,no
32,admin.,single,secondary,no,187,no,no,16,aug,182,2,198,1,no
40,management,married,tertiary,no,84,yes,no,20,aug,118,2,-1,0,no
36,technician,single,secondary,no,-426,yes,no,7,jul,340,1,-1,0,no
60,management,married,tertiary,no,300,no,no,3,sep,659,1,126,1,yes
24,management,single,tertiary,no,534,no,no,6,may,53,1,356,1,no
44,management,married,secondary,no,-16,yes,no,6,jun,514,2,-1,0,no
42,blue-collar,married,primary,no,783,yes,no,25,nov,93,2,-1,0,no
55,housemaid,married,secondary,no,488,no,yes,20,jul,456,4,-1,0,no
28,management,single,tertiary,no,340,no,no,23,jul,48,9,-1,0,no
32,blue-collar,single,secondary,no,560,no,no,5,feb,29,7,100,14,no
32,services,married,secondary,no,386,yes,no,23,may,486,7,-1,0,no
40,management,married,tertiary,no,77,yes,no,7,may,472,2,-1,0,no
32,blue-collar,married,secondary,no,-16,no,no,20,apr,169,3,-1,0,no
27,technician,single,secondary,no,342,yes,no,24,jul,946,1,-1,0,no
29,services,single,secondary,no,550,no,no,29,may,131,5,-1,0,no
42,blue-collar,married,secondary,no,601,yes,no,20,jul,127,1,-1,0,no
48,technician,married,secondary,no,729,yes,no,15,may,323,3,-1,0,no
34,technician,married,secondary,no,536,yes,no,6,may,300,2,-1,0,no
48,management,married,tertiary,no,2100,yes,no,21,may,827,1,-1,0,yes
27,technician,single,secondary,no,901,yes,no,15,jul,765,1,-1,0,yes
36,management,married,tertiary,no,198,no,no,23,jul,87,2,-1,0,no
34,blue-collar,married,secondary,no,703,yes,no,18,may,59,8,-1,0,no
58,retired,married,secondary,no,1198,yes,no,2,feb,95,1,-1,0,no
58,management,married,tertiary,no,53,no,no,11,dec,256,2,187,7,no
